wl,name,tier,C,H,net,gross,ovh,K,pos,n
A1,FSDP Llama-8B FT,nvme,4,4,0.0,0.0,0.0,0,0,68620
A1,FSDP Llama-8B FT,nvme,4,6,4.028034316290953,4.093495576271132,35.19548219905721,0.39040146996631325,63.94061802750354,68573
A1,FSDP Llama-8B FT,nvme,4,8,6.945860905827581,7.016846540480258,29.52560458592487,0.43267758447202254,69.7723593834308,68573
A1,FSDP Llama-8B FT,nvme,4,12,11.264008679018195,11.345032511817843,16.927650027968234,0.5166943933689403,79.07217698391851,68526
A1,FSDP Llama-8B FT,nvme,4,16,14.638947360989594,14.71626974606771,11.297705254980874,0.5165630563581706,83.25307182675189,68526
A1,FSDP Llama-8B FT,nvme,4,24,18.78274559342558,18.86205181932944,5.248442173009544,0.5595481646013561,91.11672901566519,68432
A1,FSDP Llama-8B FT,nvme,4,36,21.657016000064715,21.749257750226032,4.418636284355309,0.6806023003307091,92.37759372530657,68338
A1,FSDP Llama-8B FT,nvme,4,48,23.88345672169113,23.983421448094724,3.518754306872038,0.7602866186038333,93.13639294296935,68244
A1,FSDP Llama-8B FT,sata,4,4,0.0,0.0,0.0,0,0,68620
A1,FSDP Llama-8B FT,sata,4,6,3.6121734785835375,4.093495576271132,258.78455939140116,0.39040146996631325,52.50754670205474,68573
A1,FSDP Llama-8B FT,sata,4,8,6.494904943464604,7.016846540480258,217.09520927484203,0.43267758447202254,60.001749959896756,68573
A1,FSDP Llama-8B FT,sata,4,12,10.74928227453821,11.345032511817843,124.46524895564419,0.5166943933689403,70.64763739310627,68526
A1,FSDP Llama-8B FT,sata,4,16,14.147735431340564,14.71626974606771,83.06951613870659,0.5165630563581706,77.28745293757115,68526
A1,FSDP Llama-8B FT,sata,4,24,18.278930763864114,18.86205181932944,38.59062897765629,0.5595481646013561,87.15220949263502,68432
A1,FSDP Llama-8B FT,sata,4,36,21.07102465945658,21.749257750226032,32.48925067969029,0.6806023003307091,88.56126898650824,68338
A1,FSDP Llama-8B FT,sata,4,48,23.248403029232733,23.983421448094724,25.872618473028567,0.7602866186038333,89.86870640642401,68244
A2,vLLM batch inference,nvme,2,4,4.413648460467296,4.440370730328599,18.91913992316092,0.18584960652870883,59.4797435150102,68620
A2,vLLM batch inference,nvme,2,6,7.605625612103656,7.636203825876601,11.998136404185445,0.2189054000845814,67.8357370976915,68573
A2,vLLM batch inference,nvme,2,8,10.133600367660708,10.162567952473271,9.197561660342137,0.2140492613710936,71.36482288947545,68573
A2,vLLM batch inference,nvme,2,12,13.85833643286892,13.890801136985559,5.022558750577149,0.25118932959752505,77.99083559524853,68526
A2,vLLM batch inference,nvme,2,16,17.01552278706544,17.044983612660303,2.8765770465279092,0.23815777952893794,81.59676619093483,68526
A2,vLLM batch inference,nvme,2,24,20.40554721847638,20.43748289463318,2.25780570194939,0.26819324292728547,89.84393266308159,68432
A2,vLLM batch inference,nvme,2,36,23.068510569998427,23.103486244950577,2.197993656248889,0.3049255172817466,90.9684216687641,68338
